index,unitid,vsa_year,vsa_grad_after4_first,vsa_grad_elsewhere_after4_first,vsa_enroll_after4_first,vsa_enroll_elsewhere_after4_first,vsa_grad_after6_first,vsa_grad_elsewhere_after6_first,vsa_enroll_after6_first,vsa_enroll_elsewhere_after6_first,vsa_grad_after4_transfer,vsa_grad_elsewhere_after4_transfer,vsa_enroll_after4_transfer,vsa_enroll_elsewhere_after4_transfer,vsa_grad_after6_transfer,vsa_grad_elsewhere_after6_transfer,vsa_enroll_after6_transfer,vsa_enroll_elsewhere_after6_transfer,counted_pct
203,112172,,,,,,,,,,,,,,,,,,23.8
204,112190,,,,,,,,,,,,,,,,,,21.1
205,112260,,,,,,,,,,,,,,,,,,93.4
206,112385,,,,,,,,,,,,,,,,,,3.2
207,112394,,,,,,,,,,,,,,,,,,59.5
208,112446,,,,,,,,,,,,,,,,,,90.7
209,112561,,,,,,,,,,,,,,,,,,22
210,112570,,,,,,,,,,,,,,,,,,60
211,112686,,,,,,,,,,,,,,,,,,9.9
212,112826,,,,,,,,,,,,,,,,,,19.1
213,113096,,,,,,,,,,,,,,,,,,17.5
214,113111,,,,,,,,,,,,,,,,,,26.2
215,113193,,,,,,,,,,,,,,,,,,33.9
216,113218,,,,,,,,,,,,,,,,,,17.9
217,113236,,,,,,,,,,,,,,,,,,21.3
218,113333,,,,,,,,,,,,,,,,,,46.9
219,113573,,,,,,,,,,,,,,,,,,32.1
220,113582,,,,,,,,,,,,,,,,,,19.7
221,113634,,,,,,,,,,,,,,,,,,25.2
222,113698,,,,,,,,,,,,,,,,,,64.6
223,113856,,,,,,,,,,,,,,,,,,17.7
224,113980,,,,,,,,,,,,,,,,,,30
225,114123,,,,,,,,,,,,,,,,,,
226,114266,,,,,,,,,,,,,,,,,,19.3
227,114354,,,,,,,,,,,,,,,,,,47.8
228,114390,,,,,,,,,,,,,,,,,,50.9
229,114415,,,,,,,,,,,,,,,,,,64.9
230,114433,,,,,,,,,,,,,,,,,,25.3
231,114716,,,,,,,,,,,,,,,,,,31.2
232,114789,,,,,,,,,,,,,,,,,,33.1
233,114813,,,,,,,,,,,,,,,,,,50.2
234,114859,,,,,,,,,,,,,,,,,,27.3
235,114938,,,,,,,,,,,,,,,,,,19.7
236,115001,,,,,,,,,,,,,,,,,,26.9
237,115126,,,,,,,,,,,,,,,,,,26.7
238,115296,,,,,,,,,,,,,,,,,,27.5
239,115393,,,,,,,,,,,,,,,,,,28.7
240,115409,,,,,,,,,,,,,,,,,,98.5
241,115454,,,,,,,,,,,,,,,,,,40.9
242,115472,,,,,,,,,,,,,,,,,,49.2
243,115490,,,,,,,,,,,,,,,,,,38.3
244,115515,,,,,,,,,,,,,,,,,,39.4
245,115533,,,,,,,,,,,,,,,,,,42
246,115728,,,,,,,,,,,,,,,,,,59.9
247,115755,2010,8.7,3.9,45.2,26,34.9,11.2,12,17.9,0,0,0,0,0,0,0,0,51.1
248,115773,,,,,,,,,,,,,,,,,,31.3
249,115861,,,,,,,,,,,,,,,,,,46.5
250,116439,,,,,,,,,,,,,,,,,,21.3
251,116466,,,,,,,,,,,,,,,,,,70.3
252,116475,,,,,,,,,,,,,,,,,,72.7
253,116484,,,,,,,,,,,,,,,,,,67.9
254,116846,,,,,,,,,,,,,,,,,,100
255,117052,,,,,,,,,,,,,,,,,,37.4
256,117104,,,,,,,,,,,,,,,,,,29.4
257,117113,,,,,,,,,,,,,,,,,,59.2
258,117140,,,,,,,,,,,,,,,,,,38.3
259,117168,,,,,,,,,,,,,,,,,,46.2
260,117195,,,,,,,,,,,,,,,,,,33.1
261,117247,,,,,,,,,,,,,,,,,,8.2
262,117274,,,,,,,,,,,,,,,,,,12.6
263,117557,,,,,,,,,,,,,,,,,,97.1
264,117627,,,,,,,,,,,,,,,,,,61
265,117645,,,,,,,,,,,,,,,,,,25
266,117690,,,,,,,,,,,,,,,,,,18.8
267,117706,,,,,,,,,,,,,,,,,,19
268,117715,,,,,,,,,,,,,,,,,,9.9
269,117724,,,,,,,,,,,,,,,,,,12.4
270,117733,,,,,,,,,,,,,,,,,,15.9
271,117751,,,,,,,,,,,,,,,,,,68.2
272,117788,,,,,,,,,,,,,,,,,,10
273,117867,,,,,,,,,,,,,,,,,,18.4
274,117894,,,,,,,,,,,,,,,,,,25
275,117928,,,,,,,,,,,,,,,,,,47.4
276,117946,,,,,,,,,,,,,,,,,,82.3
277,118198,,,,,,,,,,,,,,,,,,
278,118259,,,,,,,,,,,,,,,,,,
279,118277,,,,,,,,,,,,,,,,,,
280,118286,,,,,,,,,,,,,,,,,,
281,118347,,,,,,,,,,,,,,,,,,15.5
282,118541,,,,,,,,,,,,,,,,,,99
283,118684,,,,,,,,,,,,,,,,,,19
284,118693,,,,,,,,,,,,,,,,,,57.9
285,118718,,,,,,,,,,,,,,,,,,42.2
286,118772,,,,,,,,,,,,,,,,,,8.3
287,118888,,,,,,,,,,,,,,,,,,59.9
288,118912,,,,,,,,,,,,,,,,,,26.9
289,118930,,,,,,,,,,,,,,,,,,15.3
290,118976,,,,,,,,,,,,,,,,,,31.4
291,119067,,,,,,,,,,,,,,,,,,19.4
292,119137,,,,,,,,,,,,,,,,,,39.1
293,119164,,,,,,,,,,,,,,,,,,34.9
294,119173,,,,,,,,,,,,,,,,,,85.3
295,119216,,,,,,,,,,,,,,,,,,19.9
296,119270,,,,,,,,,,,,,,,,,,100
297,119331,,,,,,,,,,,,,,,,,,21
298,119359,,,,,,,,,,,,,,,,,,
299,119508,,,,,,,,,,,,,,,,,,
300,119544,,,,,,,,,,,,,,,,,,64.3
301,119605,,,,,,,,,,,,,,,,,,4.5
302,119775,,,,,,,,,,,,,,,,,,14.8
303,120184,,,,,,,,,,,,,,,,,,54.2
304,120254,,,,,,,,,,,,,,,,,,86.9
305,120290,,,,,,,,,,,,,,,,,,17.9
306,120342,,,,,,,,,,,,,,,,,,32.9
307,120403,,,,,,,,,,,,,,,,,,50.7
308,120421,,,,,,,,,,,,,,,,,,21.1
309,120537,,,,,,,,,,,,,,,,,,60.7
310,120661,,,,,,,,,,,,,,,,,,
311,120865,,,,,,,,,,,,,,,,,,100
312,120883,,,,,,,,,,,,,,,,,,78.5
313,120953,,,,,,,,,,,,,,,,,,6.4
314,120971,,,,,,,,,,,,,,,,,,28.9
315,121044,,,,,,,,,,,,,,,,,,27.6
316,121150,,,,,,,,,,,,,,,,,,87.2
317,121257,,,,,,,,,,,,,,,,,,89.4
318,121275,,,,,,,,,,,,,,,,,,100
319,121309,,,,,,,,,,,,,,,,,,78.4
320,121345,,,,,,,,,,,,,,,,,,97.4
321,121363,,,,,,,,,,,,,,,,,,32.1
322,121381,,,,,,,,,,,,,,,,,,52.3
323,121619,,,,,,,,,,,,,,,,,,17.2
324,121691,,,,,,,,,,,,,,,,,,71.7
325,121707,,,,,,,,,,,,,,,,,,28.2
326,121886,,,,,,,,,,,,,,,,,,21.4
327,121901,,,,,,,,,,,,,,,,,,19.6
328,122180,,,,,,,,,,,,,,,,,,13.2
329,122205,,,,,,,,,,,,,,,,,,21.5
330,122339,,,,,,,,,,,,,,,,,,12.7
331,122366,,,,,,,,,,,,,,,,,,57.3
332,122375,,,,,,,,,,,,,,,,,,13.7
333,122384,,,,,,,,,,,,,,,,,,11.4
334,122409,2010,28.2,4,43.6,16.4,64.8,10.3,4.3,9.2,74.1,3.5,8,4.6,79.9,5,1.4,3.3,47.4
335,122436,,,,,,,,,,,,,,,,,,79.2
336,122454,,,,,,,,,,,,,,,,,,46.5
337,122506,,,,,,,,,,,,,,,,,,67.7
338,122597,2010,14.3,3.1,51,21.2,47.9,10.9,11.5,13.7,73.3,3.2,7.9,5.1,78.3,4.5,1.6,3.4,49.3
339,122612,,,,,,,,,,,,,,,,,,69.8
340,122658,,,,,,,,,,,,,,,,,,37.2
341,122685,,,,,,,,,,,,,,,,,,
342,122694,,,,,,,,,,,,,,,,,,
343,122728,,,,,,,,,,,,,,,,,,50.9
344,122746,,,,,,,,,,,,,,,,,,15.8
345,122755,2010,6.5,1.9,62.9,18.9,34.5,5.9,20.4,15.5,58.9,3.6,17.1,5.8,64.3,5.6,2.8,5.6,46.3
346,122791,,,,,,,,,,,,,,,,,,21.9
347,122834,,,,,,,,,,,,,,,,,,
348,122843,,,,,,,,,,,,,,,,,,62.3
349,122852,,,,,,,,,,,,,,,,,,
350,122889,,,,,,,,,,,,,,,,,,30.8
351,122931,,,,,,,,,,,,,,,,,,83.8
352,122977,,,,,,,,,,,,,,,,,,31.6
353,123013,,,,,,,,,,,,,,,,,,29.3
354,123165,,,,,,,,,,,,,,,,,,91.5
355,123208,,,,,,,,,,,,,,,,,,
356,123217,,,,,,,,,,,,,,,,,,40.8
357,123299,,,,,,,,,,,,,,,,,,36.8
358,123341,,,,,,,,,,,,,,,,,,34.8
359,123457,,,,,,,,,,,,,,,,,,71.8
360,123484,,,,,,,,,,,,,,,,,,29.4
361,123509,,,,,,,,,,,,,,,,,,14.9
362,123527,,,,,,,,,,,,,,,,,,22
363,123554,,,,,,,,,,,,,,,,,,78.3
364,123563,,,,,,,,,,,,,,,,,,28.2
365,123572,2010,31.2,5.2,32.7,22.1,57,15,3,12.2,71.9,0.4,4.3,5.7,74.3,0.6,0,0,62.1
366,123642,,,,,,,,,,,,,,,,,,
367,123651,,,,,,,,,,,,,,,,,,63.2
368,123679,,,,,,,,,,,,,,,,,,
369,123800,,,,,,,,,,,,,,,,,,28.9
370,123952,,,,,,,,,,,,,,,,,,100
371,123961,,,,,,,,,,,,,,,,,,72.6
372,124113,,,,,,,,,,,,,,,,,,13.3
373,124292,,,,,,,,,,,,,,,,,,86.3
374,124487,,,,,,,,,,,,,,,,,,31.8
375,124681,,,,,,,,,,,,,,,,,,
376,124706,,,,,,,,,,,,,,,,,,
377,124937,,,,,,,,,,,,,,,,,,
378,125028,,,,,,,,,,,,,,,,,,28.5
379,125091,,,,,,,,,,,,,,,,,,27.9
380,125170,,,,,,,,,,,,,,,,,,10.1
381,125231,,,,,,,,,,,,,,,,,,
382,125462,,,,,,,,,,,,,,,,,,26.9
383,125471,,,,,,,,,,,,,,,,,,13.4
384,125499,,,,,,,,,,,,,,,,,,23.6
385,125532,,,,,,,,,,,,,,,,,,
386,125727,,,,,,,,,,,,,,,,,,87.8
387,125763,,,,,,,,,,,,,,,,,,84.5
388,125897,,,,,,,,,,,,,,,,,,48.6
389,126076,,,,,,,,,,,,,,,,,,77.1
390,126119,,,,,,,,,,,,,,,,,,31.8
391,126182,,,,,,,,,,,,,,,,,,62.4
392,126207,,,,,,,,,,,,,,,,,,21.8
393,126289,,,,,,,,,,,,,,,,,,15
394,126359,,,,,,,,,,,,,,,,,,100
395,126401,,,,,,,,,,,,,,,,,,
396,126562,2011,14.1,3.4,37.7,24.2,41.1,13.6,8.8,10.7,51.1,7.1,14.8,9.8,60.6,10.2,4,5.9,19.2
397,126580,2010,21.1,5.8,32.7,19.5,45.1,15.5,5,8.8,45,7.5,14.2,10,53.4,11.7,3.7,6.6,45.8
398,126605,,,,,,,,,,,,,,,,,,65.4
399,126614,2011,39.7,3.6,36.4,13.4,67.7,10.1,4.2,6.9,58.7,6.6,14,6.9,67.2,9.6,2.7,5.2,77.4
400,126669,,,,,,,,,,,,,,,,,,45
401,126678,,,,,,,,,,,,,,,,,,93.9
402,126687,,,,,,,,,,,,,,,,,,
403,126702,,,,,,,,,,,,,,,,,,62.1
404,126711,,,,,,,,,,,,,,,,,,22.2
405,126748,,,,,,,,,,,,,,,,,,23
406,126775,,,,,,,,,,,,,,,,,,90.2
407,126784,,,,,,,,,,,,,,,,,,
408,126818,2010,36.5,3.6,34.7,13.9,63.7,10.5,4.1,7.2,54.5,6.2,13.9,8.6,63.6,10.2,2.9,5.5,72.3
409,126827,,,,,,,,,,,,,,,,,,11.9
410,126863,,,,,,,,,,,,,,,,,,13.8
411,126872,,,,,,,,,,,,,,,,,,100
412,126924,,,,,,,,,,,,,,,,,,100
413,126942,,,,,,,,,,,,,,,,,,22.3
414,126951,,,,,,,,,,,,,,,,,,
415,127024,,,,,,,,,,,,,,,,,,74.8
416,127060,,,,,,,,,,,,,,,,,,76.8
417,127185,,,,,,,,,,,,,,,,,,67
418,127200,,,,,,,,,,,,,,,,,,23
419,127389,,,,,,,,,,,,,,,,,,41.2
420,127556,2009,10.3,7.8,30.5,18.8,25.7,15.6,8.5,11.6,43.6,7.2,15,10,50.8,11.6,4.1,6.6,58.1
421,127565,2010,3.1,1.6,33.3,17,15.8,6.9,15.4,12.8,21,6.9,20.3,11,29.3,11.5,7,9.6,38.3
422,127617,,,,,,,,,,,,,,,,,,9.4
423,127653,,,,,,,,,,,,,,,,,,38.4
424,127680,,,,,,,,,,,,,,,,,,9.4
425,127699,,,,,,,,,,,,,,,,,,22.2
426,127714,,,,,,,,,,,,,,,,,,24.3
427,127732,,,,,,,,,,,,,,,,,,46.1
