index,unitid,vsa_year,vsa_grad_after4_first,vsa_grad_elsewhere_after4_first,vsa_enroll_after4_first,vsa_enroll_elsewhere_after4_first,vsa_grad_after6_first,vsa_grad_elsewhere_after6_first,vsa_enroll_after6_first,vsa_enroll_elsewhere_after6_first,vsa_grad_after4_transfer,vsa_grad_elsewhere_after4_transfer,vsa_enroll_after4_transfer,vsa_enroll_elsewhere_after4_transfer,vsa_grad_after6_transfer,vsa_grad_elsewhere_after6_transfer,vsa_enroll_after6_transfer,vsa_enroll_elsewhere_after6_transfer,cohort_size
307,120403,,,,,,,,,,,,,,,,,,171.0
308,120421,,,,,,,,,,,,,,,,,,449.0
309,120537,,,,,,,,,,,,,,,,,,121.0
310,120661,,,,,,,,,,,,,,,,,,709.0
311,120865,,,,,,,,,,,,,,,,,,225.0
312,120883,,,,,,,,,,,,,,,,,,586.0
313,120953,,,,,,,,,,,,,,,,,,81.0
314,120971,,,,,,,,,,,,,,,,,,2049.0
315,121044,,,,,,,,,,,,,,,,,,1952.0
316,121150,,,,,,,,,,,,,,,,,,751.0
317,121257,,,,,,,,,,,,,,,,,,252.0
318,121275,,,,,,,,,,,,,,,,,,
319,121309,,,,,,,,,,,,,,,,,,530.0
320,121345,,,,,,,,,,,,,,,,,,375.0
321,121363,,,,,,,,,,,,,,,,,,421.0
322,121381,,,,,,,,,,,,,,,,,,68.0
323,121619,,,,,,,,,,,,,,,,,,1231.0
324,121691,,,,,,,,,,,,,,,,,,599.0
325,121707,,,,,,,,,,,,,,,,,,451.0
326,121886,,,,,,,,,,,,,,,,,,958.0
327,121901,,,,,,,,,,,,,,,,,,1012.0
328,122180,,,,,,,,,,,,,,,,,,1054.0
329,122205,,,,,,,,,,,,,,,,,,1664.0
330,122339,,,,,,,,,,,,,,,,,,866.0
331,122366,,,,,,,,,,,,,,,,,,130.0
332,122375,,,,,,,,,,,,,,,,,,1322.0
333,122384,,,,,,,,,,,,,,,,,,508.0
334,122409,2010.0,28.2,4.0,43.6,16.4,64.8,10.3,4.3,9.2,74.1,3.5,8.0,4.6,79.9,5.0,1.4,3.3,4506.0
335,122436,,,,,,,,,,,,,,,,,,1089.0
336,122454,,,,,,,,,,,,,,,,,,59.0
337,122506,,,,,,,,,,,,,,,,,,42.0
338,122597,2010.0,14.3,3.1,51.0,21.2,47.9,10.9,11.5,13.7,73.3,3.2,7.9,5.1,78.3,4.5,1.6,3.4,3341.0
339,122612,,,,,,,,,,,,,,,,,,1052.0
340,122658,,,,,,,,,,,,,,,,,,1493.0
341,122685,,,,,,,,,,,,,,,,,,1114.0
342,122694,,,,,,,,,,,,,,,,,,355.0
343,122728,,,,,,,,,,,,,,,,,,57.0
344,122746,,,,,,,,,,,,,,,,,,518.0
